Ticker,Revenue_Billions_AUD,Revenue_Growth_%,Gross_Margin_%,Net_Profit_Margin_%,Debt_to_Equity,Cashflow_Ratio_%,Score_Revenue_Growth,Score_Gross_Margin,Score_Net_Margin,Score_Debt_to_Equity,Score_Cashflow,Health_Score,Status,Rank
UNI.AX,0.33,15.51,61.11,6.98,0.61,23.63,15.66,18.83,12.43,17.37,18.02,82.31,Healthy,1
PMV.AX,1.6,-2.85,62.59,16.15,0.3,25.5,0.2,19.55,20.0,19.18,20.0,78.93,Healthy,2
NCK.AX,0.5,5.79,63.52,11.65,1.19,23.32,7.48,20.0,16.29,13.98,17.69,75.44,Healthy,3
HVN.AX,4.12,5.09,50.96,12.57,0.48,16.85,6.89,13.9,17.05,18.13,10.85,66.82,Healthy,4
TPW.AX,0.6,20.66,32.98,1.88,0.16,7.65,20.0,5.16,8.23,20.0,1.12,54.51,Watch,5
SUL.AX,4.07,4.83,45.64,5.45,0.94,14.18,6.67,11.31,11.17,15.44,8.03,52.62,Watch,6
ADH.AX,0.62,3.99,46.81,4.16,1.39,12.73,5.96,11.88,10.11,12.81,6.49,47.25,Watch,7
WES.AX,45.58,3.47,34.31,6.42,1.22,10.02,5.52,5.81,11.97,13.8,3.63,40.73,Watch,8
JBH.AX,10.55,10.03,22.36,4.38,0.44,6.74,11.05,0.0,10.29,18.36,0.16,39.86,At-Risk,9
BBN.AX,0.52,4.72,40.17,1.83,1.48,9.94,6.58,8.65,8.18,12.28,3.54,39.23,At-Risk,10
MYR.AX,2.98,14.03,46.28,-7.08,1.83,8.27,14.42,11.62,0.83,10.23,1.78,38.88,At-Risk,11
KGN.AX,0.49,7.05,38.89,-8.09,0.28,7.64,8.54,8.03,0.0,19.3,1.11,36.98,At-Risk,12
DMP.AX,2.3,-3.09,56.66,-0.16,2.26,7.28,0.0,16.67,6.54,7.72,0.73,31.66,At-Risk,13
COL.AX,44.35,1.79,26.39,2.43,2.71,6.62,4.11,1.96,8.68,5.09,0.03,19.87,At-Risk,14
WOW.AX,69.08,1.7,27.24,1.39,3.58,6.59,4.03,2.37,7.82,0.0,0.0,14.22,At-Risk,15
