Ticker,Revenue_Billions_AUD,Revenue_Growth_%,Gross_Margin_%,Net_Profit_Margin_%,Debt_to_Equity,Cashflow_Ratio_%
WOW.AX,69.08,1.7,27.24,1.39,3.58,6.59
COL.AX,44.35,1.79,26.39,2.43,2.71,6.62
WES.AX,45.58,3.47,34.31,6.42,1.22,10.02
JBH.AX,10.55,10.03,22.36,4.38,0.44,6.74
HVN.AX,4.12,5.09,50.96,12.57,0.48,16.85
MYR.AX,2.98,14.03,46.28,-7.08,1.83,8.27
SUL.AX,4.07,4.83,45.64,5.45,0.94,14.18
NCK.AX,0.5,5.79,63.52,11.65,1.19,23.32
PMV.AX,1.6,-2.85,62.59,16.15,0.3,25.5
ADH.AX,0.62,3.99,46.81,4.16,1.39,12.73
KGN.AX,0.49,7.05,38.89,-8.09,0.28,7.64
TPW.AX,0.6,20.66,32.98,1.88,0.16,7.65
UNI.AX,0.33,15.51,61.11,6.98,0.61,23.63
BBN.AX,0.52,4.72,40.17,1.83,1.48,9.94
DMP.AX,2.3,-3.09,56.66,-0.16,2.26,7.28
